position_x,position_y,position_z
-148.5531,243.703,839.7106
-119.8205,245.4782,843.6555
-195.9074,242.7979,813.3769
-91.84114,249.9938,844.0175
-237.9687,239.7728,799.0881
-103.4162,230.3479,844.1136
116.5798,231.9356,753.889
-223.4456,225.9604,800.8712
57.66328,229.3331,770.4106
-233.629,234.0897,795.5283
-216.8785,237.0583,803.9744
96.70107,230.5097,795.0275
-83.93088,230.5539,844.4056
-75.77426,228.9409,839.9265
8.126444,229.0767,756.9634
-111.168,217.6595,842.0383
-18.04622,223.85,801.646
229.0144,224.4405,802.9191
-103.6137,215.9788,841.5997
-72.88879,211.5587,839.8755
-46.3372,209.0709,830.3801
-0.9535836,204.8091,801.3162
31.54407,211.3602,747.9945
-164.8268,208.1849,797.2448
-204.9653,195.5979,773.8032
-40.98462,201.7019,826.7983
-82.84366,198.0126,837.5364
-63.90644,200.7251,832.1684
48.01384,195.4225,737.7198
152.6668,194.2838,749.4866
-54.47363,189.3809,823.8799
120.4613,187.7003,722.264
-34.08543,186.9435,819.8115
-220.5926,181.5026,769.4267
-73.36981,183.301,830.6119
-44.96764,186.4743,819.8461
-59.58993,178.6034,822.8745
76.49902,170.5427,725.105
197.3537,168.7381,722.6097
-43.95351,163.6069,809.2368
194.927,168.0652,721.037
-3.315839,166.3162,814.4395
-83.53899,162.3156,816.8326
44.9735,160.1502,777.9758
119.0188,160.3116,707.2784
162.1562,164.8991,702.4918
190.8777,166.122,718.7134
83.71307,160.7601,719.6887
-158.6813,151.8163,778.7622
234.4346,156.5493,768.535
-110.7153,160.4739,802.869
-206.0372,151.9722,753.173
-137.0462,150.2605,783.1916
-58.65271,151.1115,814.6715
-203.2952,152.3342,751.6737
-168.133,143.8815,770.8312
-35.65387,141.7839,792.8055
120.7537,137.6452,696.732
-119.9223,137.7134,790.0207
201.2463,124.5924,730.9257
-194.7371,129.4535,743.8978
-86.75204,134.0908,803.8662
150.2343,129.3313,700.1888
-199.6565,130.2126,744.2983
-205.9187,120.9509,745.3165
-9.743835,125.2781,795.4451
126.6706,132.4921,692.5065
-186.7868,128.7603,743.8732
-144.3215,126.043,775.3251
179.1503,122.8217,717.2966
-178.2099,124.2642,741.5349
-109.5029,122.958,787.6469
-79.49058,124.0668,804.9254
25.33014,125.0322,797.1993
121.6981,123.01,691.1804
-23.60209,124.4575,779.9756
154.3069,119.5946,706.1255
-80.07693,114.3833,804.0779
202.0198,113.9429,731.844
207.3811,110.9125,732.9768
198.2053,108.9679,729.9327
174.0593,113.8164,712.6758
33.52628,97.13034,776.5057
-176.1586,105.8324,730.3568
-106.5216,102.7627,787.8253
-40.10858,102.5746,773.978
42.29895,101.3811,779.0504
84.41296,103.9393,715.6755
192.1592,101.843,725.5681
-116.2879,88.45481,779.6785
-13.4629,89.29636,758.5612
-138.9614,84.81969,768.1786
-100.2933,83.70397,782.7186
-234.1393,79.47031,800.8131
95.10167,72.32449,707.3635
-58.29565,76.19501,802.1815
-110.9392,71.72932,774.8578
-174.2959,68.65324,715.2842
-54.96654,69.32362,800.6576
100.8027,70.999,705.5759
201.9406,65.14532,727.7117
212.8692,68.17259,729.8066
-95.06991,70.44864,780.3599
-54.6508,66.82379,799.9894
-31.84635,67.72372,766.705
-59.17331,64.15361,799.1472
-202.3625,50.95065,760.4386
-37.00171,48.3511,797.5892
147.0459,46.92279,702.6526
-112.2854,39.86607,759.8748
-67.36228,43.06497,786.2778
-176.6287,45.57419,713.7308
-162.1314,30.70997,705.2209
103.7608,34.80421,637.4729
131.5074,30.5197,700.1105
-129.1433,27.14145,708.5608
-211.3816,24.74806,771.0485
149.5525,23.14546,710.5036
176.3289,20.39993,735.2682
69.49135,23.77547,709.3882
109.3661,13.75838,632.238
200.2038,22.46283,796.0869
159.6275,18.85462,715.6183
-45.69264,15.94542,785.8025
144.8718,7.683589,702.9482
-25.71046,6.682814,781.7506
-17.89213,6.993585,785.4246
-235.3169,2.832042,789.5876
-99.75739,3.338536,714.8942
215.9054,-2.267599,803.2643
-62.6031,-2.551466,775.0191
103.798,-7.726497,627.9509
84.55507,-9.717311,622.972
37.66452,-21.53303,636.2532
187.1841,-12.41807,793.7406
153.9971,-16.90328,709.0747
-90.66496,-20.77201,712.8395
205.9651,-20.21787,796.9438
179.2078,-23.29804,786.9104
220.0176,-22.62294,798.4758
248.2437,-29.61882,806.7
-10.57983,-32.03856,708.1559
-238.5319,-30.37049,804.9973
211.6512,-38.47752,785.9719
90.0115,-41.60773,612.6458
-145.8279,-41.01534,692.2661
223.6543,-43.54086,788.6182
230.6305,-49.8156,794.1277
-104.662,-46.89351,642.5102
-101.2375,-55.04379,641.558
213.1652,-52.3549,781.1292
-107.5623,-55.10085,643.4243
-234.7403,-57.17938,819.1973
35.43983,-67.29617,610.0309
68.31537,-69.38375,594.3566
72.86782,-62.21849,600.5964
-64.63731,-72.31789,638.0563
127.0496,-74.05231,628.5087
116.9612,-71.97569,623.3747
243.289,-79.19288,797.2884
-170.1839,-78.06644,706.2608
24.92899,-80.62528,607.6639
104.6474,-86.04423,611.2227
65.97658,-92.16814,589.6183
117.3862,-87.41585,618.1574
76.81643,-90.50125,592.6486
79.03171,-99.74577,591.6653
89.62449,-100.7542,598.5824
169.238,-103.3737,707.1663
86.22926,-105.7647,595.6821
-148.5009,-121.3087,721.1087
-27.47767,-129.6286,597.6132
-209.8493,-131.2825,822.7026
-2.134907,-134.7431,591.204
4.532057,-133.756,589.4942
82.77153,-133.5798,584.3498
148.5316,-136.9031,623.5596
-208.4562,-134.0964,823.7903
44.61792,-137.5031,571.8001
18.91813,-138.4132,582.3433
-221.9617,-150.5487,835.8961
21.80687,-139.5666,580.82
29.2365,-145.8519,576.642
-143.4846,-152.1387,785.9746
48.33916,-151.3719,570.5086
42.82017,-148.0266,571.557
-57.60975,-160.3973,613.3901
-46.55862,-160.4375,606.6636
-32.11361,-156.008,595.9078
96.00752,-148.5935,588.8137
-248.9561,-158.7532,847.0678
-222.8764,-153.8279,836.8595
-25.59468,-160.2996,593.8994
100.4502,-164.6519,584.0426
169.3646,-158.4162,618.6681
88.92619,-173.5011,577.8651
-225.4423,-168.7992,838.5486
245.2635,-166.7259,616.4304
-18.29976,-172.955,591.8098
-183.9089,-179.0326,818.3646
53.50232,-171.307,568.8929
168.0348,-169.7952,609.4341
216.7511,-176.0408,609.6564
87.22269,-184.6284,572.5931
113.1837,-184.1404,579.8709
129.6787,-178.574,590.1934
152.7848,-181.5372,599.2117
172.1117,-178.524,604.7214
-167.6271,-176.4341,807.8668
25.06271,-186.303,582.113
39.98579,-187.5844,575.3773
146.0648,-181.0264,597.439
169.3076,-184.2619,600.7224
-108.8031,-191.2238,654.9458
235.3162,-188.0188,603.4688
-35.26091,-187.4973,598.4458
-24.99501,-193.5629,593.6208
74.9129,-194.7594,567.2631
203.2085,-195.5638,593.5015
-9.690817,-194.9639,589.7191
-228.7594,-197.4706,826.2496
-223.2743,-199.4389,824.0609
163.7099,-194.1707,592.5795
212.3198,-200.0166,591.4898
-37.48462,-196.4508,597.343
186.7875,-203.146,587.3218
-36.62955,-204.8528,594.9528
21.68314,-205.8592,581.6249
108.4928,-201.4893,573.3738
111.7702,-208.2373,572.2168
-54.2967,-205.1525,602.235
-23.78236,-212.5008,592.344
190.6953,-211.0771,582.8486
224.6146,-213.6364,583.4671
39.77443,-213.8546,571.9484
130.5511,-210.4777,576.3507
-52.08537,-220.7869,599.7704
191.5714,-217.7717,578.5066
147.4381,-217.0798,577.3525
244.4945,-218.3273,581.4359
200.0344,-224.583,574.9847
207.3501,-223.7414,575.6169
-24.36511,-235.2139,595.2109
7.311861,-221.9546,582.8943
16.21972,-234.9375,574.3076
25.0905,-236.8386,570.2064
48.4377,-234.7697,567.8132
-64.08374,-238.3974,602.2911
106.6397,-234.7453,560.6943
138.1856,-229.6224,569.7861
165.6263,-240.0393,564.7473
-74.68613,-241.2593,605.8156
57.40886,-245.3067,566.8389
138.1969,-239.3618,564.2673
92.46498,-249.7439,553.9135
118.9841,-241.0594,560.9325
23.67796,-244.1428,570.4106
214.5379,-251.0398,559.6517
203.5451,-252.5762,558.189
245.2115,-251.9667,566.0706
41.52759,-252.5017,567.5569
170.2639,-252.9586,556.5251
29.55897,-252.6953,568.0704
25.13693,-261.1769,568.7303
200.9736,-254.5029,557.3043
38.04787,-259.0846,567.6904
-74.23211,-257.8528,600.7592
232.7556,-265.4783,556.4156
-99.87141,-267.4857,603.7665
221.1449,-268.62,551.3644
234.6596,-267.9862,555.988
112.9805,-268.6381,553.8203
249.0789,-270.2884,558.1958
-101.2056,-281.4473,604.9995
-99.18471,-278.5313,604.0834
51.09077,-272.0277,566.859
219.756,-279.2828,546.1746
53.16695,-277.3276,565.9588
-26.09376,-274.9291,591.1225
198.0101,-284.038,543.4347
9.41466,-284.282,573.2006
-73.61034,-283.4734,600.5599
-220.9774,-288.9581,709.3806
-199.5965,-284.4447,703.3271
-33.88877,-288.6104,593.145
69.46485,-290.3898,564.074
-113.8776,-289.7495,608.4756
-58.49561,-292.426,600.6722
-126.2664,-295.9331,612.607
16.21272,-295.59,569.3534
136.9533,-292.6917,553.7443
3.639328,-300.0375,575.6377
45.9589,-301.591,563.2098
152.277,-301.1206,554.3269
228.204,-299.0822,535.9316
64.18311,-297.954,562.5513
-146.3456,-299.3781,623.0251
-83.98262,-302.7831,602.9334
82.97944,-303.2909,559.0051
115.4817,-302.4025,553.5743
-106.9198,-303.7316,605.8123
93.9165,-306.4522,556.5015
245.2453,-300.5652,535.1506
57.75179,-308.7823,560.3619
119.109,-309.5336,552.4066
161.6049,-304.5925,554.384
-104.0748,-308.8755,605.0657
66.94812,-309.6025,559.0017
143.3816,-307.5375,553.1729
247.6123,-312.5986,530.1865
-70.8279,-312.5483,603.1855
157.8129,-316.9125,551.2671
-43.2435,-316.0443,591.5839
26.88459,-313.4598,564.6254
65.59228,-322.2422,559.3625
-20.80861,-322.9764,581.5038
176.5952,-320.451,551.1779
174.3099,-325.9082,550.3959
-103.8592,-331.3084,603.7056
-36.63883,-322.071,589.4821
76.68137,-336.0976,556.1385
142.0736,-331.9899,550.3248
128.1314,-332.634,552.3003
-244.9867,-338.2358,818.7969
-121.302,-334.9859,604.1833
-69.98263,-333.4354,600.3508
8.519119,-332.714,570.7966
-37.61121,-339.7403,588.0312
140.2651,-341.1387,551.3457
161.5944,-341.6035,548.8719
-168.1557,-345.0936,628.1182
-28.46945,-337.6772,586.3375
-24.55022,-340.3815,585.5242
50.3506,-341.5086,561.0141
-21.7571,-345.8498,585.501
-117.1049,-351.3884,605.5413
-30.73346,-346.4051,588.9464
24.75762,-346.3354,566.295
52.07893,-348.6252,562.2809
203.5233,-350.9041,543.6584
0.8140789,-351.1506,576.0656
189.0371,-355.155,542.3609
208.4905,-351.0452,543.1044
220.9439,-349.5185,540.5817
-171.9305,-353.3411,627.502
-156.5648,-354.5201,619.2819
-150.6786,-350.6973,616.4442
86.89248,-350.1073,555.5607
-44.15528,-361.0065,590.4391
-34.41692,-360.3129,589.1917
64.13692,-352.6954,556.908
66.85207,-361.5351,555.6631
135.0083,-354.2492,552.0369
-51.42887,-351.9605,591.5314
58.35486,-360.2335,558.9884
179.1526,-360.6608,541.7168
-164.8378,-361.315,621.6675
-136.3061,-358.1649,609.6259
-21.11499,-364.1603,585.0972
56.159,-360.6638,559.5615
-77.55531,-367.6388,601.8214
-64.27331,-367.7063,595.3146
201.8424,-366.6683,538.2825
66.24994,-366.4027,555.4212
-200.1248,-371.0558,638.2318
-22.47305,-373.1686,583.8481
50.48689,-372.4816,559.8567
59.77406,-373.778,556.3999
67.92578,-372.8533,554.514
140.0532,-372.9385,549.5898
187.3371,-379.0752,537.394
-184.396,-378.9389,628.8408
118.4165,-376.0533,554.6105
-169.1628,-380.6994,622.7654
29.36357,-381.4923,562.668
94.73199,-382.9011,555.3753
131.48,-381.9722,551.335
-103.9492,-384.2211,606.8116
6.083931,-380.0504,572.6776
-0.03673914,-390.5639,571.7065
121.2778,-389.0303,552.8857
201.5992,-385.6572,533.0657
-160.05,-387.3965,619.2038
-186.0413,-390.9908,628.7996
-177.5551,-390.6986,625.9012
-139.3575,-393.3147,611.7604
-177.5395,-394.1417,625.1367
-208.5455,-393.5013,639.786
-152.2071,-395.9718,616.063
-81.34471,-394.7024,604.2858
90.01871,-401.6635,553.0867
103.6081,-395.5732,554.2919
-118.5173,-396.8041,608.9462
67.57973,-400.0264,551.4236
204.8544,-403.851,533.8192
207.7966,-404.6324,533.5785
157.4334,-396.3717,543.9597
-156.3727,-405.8323,616.4619
100.6142,-407.2496,553.5977
-131.9284,-409.9974,611.925
-53.29459,-407.2777,589.2267
18.5803,-409.816,557.997
1.753469,-409.5464,565.0432
199.8891,-409.4937,533.2299
-98.6706,-408.8607,607.172
-71.29097,-412.2062,597.2452
52.30595,-412.8593,549.9074
226.1682,-417.7787,528.995
-179.172,-416.9147,620.9532
70.72353,-416.3666,547.7691
99.8766,-419.3017,550.774
151.629,-417.1302,542.3806
-106.1722,-422.4418,608.7055
-66.89518,-421.0477,593.385
241.5234,-418.3997,528.4321
-228.0882,-428.3281,644.2974
-38.9828,-423.828,578.936
93.7607,-423.3599,549.0834
193.7081,-422.1784,530.3837
-206.4792,-432.7683,630.2371
-144.3039,-428.3739,613.9225
92.10437,-424.2024,548.5978
112.712,-424.9918,548.0114
-133.0005,-420.2771,612.1891
-100.6885,-426.5996,608.1364
-65.82224,-428.5929,591.8448
-112.2358,-438.8129,609.4614
60.44976,-434.7948,542.9337
145.3764,-436.8114,536.7073
-142.6852,-439.4359,613.8585
-6.899966,-439.6812,562.1425
215.7092,-442.3841,518.9686
247.3884,-441.6755,519.6343
-57.43239,-446.3391,583.0795
83.64485,-439.5459,539.0684
-49.36479,-447.0785,578.7988
121.4749,-451.1215,535.3657
136.065,-444.2623,534.5297
97.92735,-451.2291,536.1733
168.4679,-447.9236,527.9449
41.75354,-451.9217,544.4965
-99.76414,-453.0426,606.1694
-46.60323,-460.2222,575.0167
205.7564,-457.8167,514.5229
234.3291,-458.2487,510.0547
55.78277,-458.4098,539.1458
108.8635,-460.7219,533.7716
120.0756,-460.1701,534.3571
144.2505,-460.6018,530.9084
-184.7861,-465.6331,619.0859
169.4727,-456.154,524.1243
213.9039,-462.8396,512.6301
24.30771,-465.321,547.3209
-32.48534,-457.7612,570.2429
9.498024,-461.1658,552.2601
80.85867,-467.3763,531.9209
190.2765,-464.5504,515.525
-183.0112,-468.1589,618.6559
-127.8527,-472.4799,609.8883
-65.6833,-463.6601,584.9943
41.05813,-467.9272,541.5027
146.0944,-467.8244,530.3011
-244.8032,-470.1012,649.0696
-240.7845,-469.4177,646.884
-106.0393,-470.6746,605.7179
31.17789,-473.1499,544.1151
59.193,-459.0857,537.7701
-134.5401,-480.1469,610.9924
-124.6296,-476.8826,608.7498
-5.165002,-469.9069,554.915
106.066,-468.7684,530.341
-34.79351,-473.8105,568.0701
232.1,-477.3829,511.2396
181.9896,-480.6849,516.36
184.79,-481.053,515.7054
64.26546,-484.9216,532.7676
240.2516,-483.3444,510.976
-202.883,-489.4775,626.1802
117.9776,-481.3683,526.1744
158.1355,-482.854,522.3547
208.6414,-484.6138,513.7242
-197.5408,-489.8477,623.8536
136.4117,-484.8319,524.3635
160.8689,-487.529,520.6072
-223.5505,-485.3423,636.5375
-185.832,-486.9149,620.634
133.4369,-488.4387,522.6886
154.2543,-496.8778,519.6489
195.8754,-491.6058,514.1284
-124.6498,-491.6678,608.4502
-65.8904,-492.201,582.5927
202.7899,-499.8484,513.4661
-237.7369,-493.2693,642.1066
-183.4463,-502.5386,621.824
-187.3291,-506.732,622.8344
-7.171911,-506.4586,553.7329
25.95142,-501.3058,542.161
148.5599,-503.9782,519.8891
239.2795,-506.7195,511.0501
189.8054,-504.6648,513.9268
-168.7958,-511.0686,621.3206
192.1381,-506.986,513.45
51.60137,-514.3505,532.332
151.6212,-508.4135,518.5356
149.8653,-509.868,518.2996
-231.3636,-516.0148,635.4734
111.7539,-516.9094,523.9176
-139.8333,-521.3629,612.6659
99.28453,-517.6776,523.8769
-50.54269,-515.8798,571.6863
188.6189,-516.0971,511.7196
223.64,-522.1152,510.0267
-171.5918,-514.5899,622.0227
-42.26472,-519.5409,568.5605
16.18911,-519.3989,544.8092
-87.60647,-527.361,588.6901
148.5839,-525.0177,516.2421
-143.5094,-529.0327,613.211
-35.11574,-524.5378,564.9948
62.9118,-521.3004,528.778
100.078,-528.8782,523.7488
180.0536,-526.9971,512.5259
-82.6146,-527.8842,586.1435
-0.9276688,-539.1351,548.0305
13.94926,-537.4947,544.0568
153.9459,-536.5714,516.2499
217.0708,-537.8605,508.4684
-79.72179,-531.5189,583.9341
211.2383,-532.7197,508.6382
0.9264891,-538.9248,547.539
19.58231,-534.0366,541.44
-194.2052,-538.0851,625.9308
-182.0897,-546.906,623.555
-139.3483,-546.1101,608.719
55.12769,-540.4473,530.4433
246.3641,-547.6345,507.4135
-111.8772,-542.1992,594.5237
-56.95394,-550.3012,572.1578
176.8387,-545.1865,509.8036
202.3895,-544.9199,505.3528
236.742,-541.7864,507.861
-93.03537,-548.8681,588.7987
74.02303,-551.7858,527.7969
164.7329,-549.5145,512.431
-205.3485,-544.7961,628.3146
31.1555,-549.3823,536.7922
-133.1499,-554.0145,604.4301
-48.01022,-550.7384,568.474
100.7048,-554.6207,523.3191
-237.6142,-552.9082,637.7448
-83.31056,-558.7161,583.7265
-6.4311,-556.7081,549.0461
84.49902,-560.44,526.0153
18.90947,-562.9852,540.342
74.37199,-562.6844,526.5339
-156.5248,-565.698,615.0106
12.44827,-569.8325,541.67
180.2021,-569.0841,505.4417
-222.0829,-562.356,630.0078
-172.4796,-569.3129,620.3913
-47.88291,-562.1741,566.959
132.487,-567.5696,515.0631
114.9506,-573.2155,518.2729
-3.384087,-571.7268,545.7808
118.9992,-570.5146,517.8724
-125.0196,-571.4459,598.5502
-81.16917,-571.507,582.9245
74.67981,-572.2689,524.0613
94.12361,-576.1239,520.3675
-105.4499,-572.7947,590.1458
-101.3189,-567.5888,588.9329
-19.35995,-577.7828,550.7644
79.22112,-575.7777,522.5891
-195.9126,-575.373,622.1119
-117.3476,-576.232,594.5266
-196.2241,-577.7007,621.4412
44.66317,-577.0486,530.8898
52.18545,-581.6473,529.1476
